EID,InvestorEID,SameProvince,Sharehold,InvestRegYear,InvestCloseYear
"56013161","1882247870","0","1","2012",""
"16926623","2141483518","0","1","2011",""
"986316851","756037440","0","0.8","2015",""
"857693699","578547474","0","0.011","2014",""
"626100914","1028757860","0","1","2015",""
"1194941855","2063089521","0","0.63","1999",""
"805491390","1147760341","0","0.2","2013",""
"1119252986","1838436052","0","0.5","2014",""
"280393591","406701251","0","0.51","2007",""
"865126252","1123329287","0","0.8","2006",""
"499447418","1932817645","0","0.55","2015",""
"1251463060","249980898","0","1","1996",""
"246319856","1289667307","0","1","2014",""
"56013161","462587944","0","1","2012",""
"1161636825","2097203093","0","0.04","2014",""
"283353541","1923484080","0","0.074","2005",""
"647710588","1835988591","0","0.5","2013",""
"728457330","702456347","0","1","2010",""
"775062491","395456395","0","0.3","1994",""
"765186715","1176505820","0","0.333","2015",""
"986316851","86587499","0","0.8","2014",""
"1310597589","841899555","0","0.084","2006",""
"782356327","15614107","0","0.087","2011",""
"1254174080","1816759970","0","0.5","1993",""
"842054659","106870647","0","0.9","2014",""
"224943233","1063894209","0","0.024","2010",""
"801714486","137112828","0","0.51","2010",""
"1138761019","2018536130","0","0.153","2015",""
"1392937879","1296720853","0","0.15","2015",""
"842054659","144881519","0","1","2014",""
"1086205835","792855260","0","1","1998",""
"8346256","1027721338","0","1","2014",""
"915330030","1273221272","0","0.7","2011",""
"96790054","929451635","0","1","2013",""
"893219562","267676791","0","1","2015",""
"1378618603","685770569","0","0.15","2011",""
"1138761019","138725172","0","1","2013",""
"1338340659","1065606980","0","1","2008",""
"47697285","1977727143","0","0.071","2015",""
"329610120","659346048","0","0.081","2004",""
"1246303767","519753810","0","1","2007",""
"1178543615","554799825","0","0.49","2015",""
"352357201","453792950","0","1","2014",""
"216623510","1530939163","0","1","2011",""
"304563995","350173194","0","1","2010",""
"667889776","649346492","0","1","2008",""
"58779841","1465318595","0","0.04","2015",""
"1287865321","1198353816","0","0.06","2009",""
"905657340","1838195364","0","1","2015",""
"1020734918","484787007","0","0.7","2015",""
"970376379","1527223542","0","0.333","2014",""
"1335402949","805573903","0","0.51","2014",""
"772949814","1246172086","0","0.2","2012",""
"636173122","196063435","0","0.7","2012",""
"1165050581","1464878352","0","0.49","2011",""
"151454199","1990540530","0","0.75","2014",""
"181390723","880578016","0","0.05","2010",""
"761569440","1636139211","0","0.455","2014",""
"568953976","1064750075","0","0.018","2000",""
"1032072444","377251163","0","0.045","2009",""
"705072255","1128048797","0","0.1","2015",""
"56013161","1165715426","0","0.9","2006",""
"483694475","1297877490","0","1","2010",""
"1011202180","414094217","0","0.27","2015",""
"1449025374","2097502620","0","0.05","2014",""
"549788070","1319684253","0","0.026","2012",""
"628340938","107406888","0","0.333","2002",""
