"EID","ProjectID","BiddingDate","SameProvince"
"1052928018","3984451","2014-01","0"
"1389843153","4350599","2014-07","0"
"1334290580","3068317","2013-10","1"
"347505473","4192469","2014-05","1"
"1305459766","5019449","2015-02","1"
"980776594","5679446","2015-08","0"
"980776594","5773414","2015-08","0"
"305685394","3149388","2013-11","0"
"305685394","3138950","2013-11","0"
"305685394","5497572","2015-07","0"
"1433552068","4170338","2014-05","1"
"1433552068","4177882","2014-05","1"
"1037465510","5772055","2015-08","0"
"1018053904","3032393","2013-09","0"
"1018053904","4528526","2014-09","0"
"1018053904","4510734","2014-09","0"
"1175827761","4517423","2014-09","1"
"1307806122","5193727","2015-04","1"
"853130395","4842975","2014-12","1"
"947278744","4880503","2014-12","1"
"1193104860","5241857","2015-04","1"
"1193104860","5494442","2015-07","1"
"1193104860","5494563","2015-07","1"
"375253252","3072780","2013-10","1"
"1206371330","4673678","2014-10","0"
"1206371330","4813298","2014-12","0"
"12588766","4366650","2014-07","1"
"111827701","4400592","2014-07","1"
"111827701","4210945","2014-05","1"
"111827701","4340957","2014-07","1"
"111827701","4198768","2014-05","1"
"111827701","4312168","2014-07","1"
"111827701","4205181","2014-05","1"
"111827701","4307593","2014-07","1"
"111827701","4261740","2014-06","1"
"111827701","4309504","2014-07","1"
"111827701","4198385","2014-05","1"
"111827701","4321736","2014-07","1"
"111827701","4374254","2014-07","1"
"111827701","4327400","2014-07","1"
"111827701","4199021","2014-05","0"
"111827701","4151449","2014-05","1"
"111827701","4309699","2014-07","1"
"990008496","5253039","2015-05","0"
"936253695","3103911","2013-11","0"
"1007451824","5574724","2015-07","1"
"1007451824","4538185","2014-09","1"
"1007451824","5708053","2015-08","1"
"1007451824","5001047","2015-02","1"
"1007451824","4779819","2014-11","1"
"512481357","5355420","2015-05","1"
"607443767","4642050","2014-10","1"
"257336201","3182353","2013-12","0"
"257336201","4613943","2014-10","1"
"257336201","4367589","2014-07","0"
"467309946","5440076","2015-06","1"
"1359565826","4073175","2014-03","0"
"1295652218","3207067","2013-12","1"
"1295652218","4018072","2014-02","0"
"1295652218","4394488","2014-07","0"
"1295652218","5513872","2015-07","0"
"363667644","5355479","2015-05","0"
"1413627157","4827746","2014-12","1"
"1028477989","5339474","2015-05","0"
"1238457108","4194403","2014-05","1"
"1311936741","4700339","2014-11","0"
"1311936741","5273397","2015-05","0"
"916550176","3240313","2013-12","0"
"916550176","3101301","2013-11","0"
"916550176","4617552","2014-10","0"
"916550176","4134646","2014-04","0"
"916550176","4601740","2014-09","0"
"916550176","3101301","2013-11","0"
"916550176","3240313","2013-12","0"
"916550176","4134646","2014-04","0"
"916550176","4617552","2014-10","0"
"916550176","4601740","2014-09","0"
"67740935","5610322","2015-07","1"
"67740935","4308686","2014-07","1"
"67740935","4751523","2014-11","1"
"67740935","4241675","2014-06","1"
"67740935","4313594","2014-07","1"
"67740935","4236562","2014-06","1"
"67740935","4516826","2014-09","1"
"67740935","4283946","2014-06","1"
"538860281","4973282","2015-01","0"
"985116245","4730524","2014-11","1"
"441951891","3018201","2013-09","0"
"441951891","3023772","2013-09","0"
"441951891","3024001","2013-09","0"
"441951891","3234659","2013-12","0"
"441951891","3235803","2013-12","0"
"441951891","3143462","2013-11","0"
"441951891","3216082","2013-12","0"
"441951891","3092773","2013-10","0"
"441951891","3163670","2013-11","0"
"441951891","4198077","2014-05","0"
"441951891","4197157","2014-05","0"
"441951891","4210953","2014-05","0"
"441951891","4210969","2014-05","0"
"441951891","4207844","2014-05","1"
"441951891","5507504","2015-07","0"
"441951891","4236971","2014-06","0"
"441951891","4114000","2014-04","0"
"441951891","4894975","2014-12","0"
"441951891","4902589","2015-01","0"
"911343403","5448189","2015-06","1"
"1108264107","4428477","2014-08","1"
"528025935","5555585","2015-07","1"
"553233522","5293680","2015-05","0"
"553233522","5190087","2015-04","0"
"553233522","3116613","2013-11","0"
"553233522","5280534","2015-05","0"
"553233522","4637364","2014-10","0"
"535816402","4664724","2014-10","0"
"573805616","4433147","2014-08","0"
"993427019","3134461","2013-11","0"
"993427019","5690514","2015-08","0"
"993427019","3965555","2014-01","1"
"993427019","5222996","2015-04","0"
"993427019","5494430","2015-07","1"
"993427019","5502126","2015-07","1"
"774101877","4822047","2014-12","1"
"1436120951","4920503","2015-01","1"
"1436120951","3992038","2014-01","1"
"187053888","5519807","2015-07","1"
"145078135","4199573","2014-05","0"
"1383109645","3033080","2013-09","1"
"1383109645","4017699","2014-02","0"
"1383109645","5659906","2015-08","1"
"1383109645","4524861","2014-09","0"
"1383109645","4385716","2014-07","1"
"1416564675","3245269","2013-12","0"
"190786715","3095725","2013-11","1"
"190786715","4937561","2015-01","1"
"190786715","5672003","2015-08","1"
"1428374835","4888403","2014-12","1"
"1428374835","4833279","2014-12","1"
"1017495397","5687441","2015-08","0"
"498599718","5669932","2015-08","1"
"262221936","4851245","2014-12","0"
"314501873","4275551","2014-06","1"
"107642738","5167454","2015-04","1"
"107642738","4459313","2014-08","0"
"107642738","4857592","2014-12","0"
"254416932","4806188","2014-12","0"
"254416932","4764165","2014-11","0"
"1307538986","3999241","2014-01","1"
"1257195291","4910373","2015-01","0"
"1257195291","5282871","2015-05","0"
"1257195291","4299957","2014-06","1"
"1257195291","5008297","2015-02","0"
"1257195291","4910837","2015-01","0"
"274465201","4991443","2015-02","0"
"265230372","5476079","2015-06","0"
"265230372","5476079","2015-06","0"
"154096033","4307809","2014-07","0"
"154096033","5606445","2015-07","0"
"154096033","4828234","2014-12","0"
"638793439","3196594","2013-12","1"
"341939446","4851264","2014-12","1"
"522655317","5425986","2015-06","1"
"769825765","4890708","2014-12","1"
"1267900012","4121841","2014-04","0"
"1267900012","5475963","2015-06","0"
"1267900012","5512736","2015-07","0"
"515276359","5289125","2015-05","0"
"515276359","4315267","2014-07","0"
"1224265942","5602416","2015-07","0"
"1224265942","5429657","2015-06","0"
"1224265942","2976331","2013-09","0"
"1224265942","4924313","2015-01","0"
"1224265942","5763721","2015-08","1"
"1224265942","5214302","2015-04","0"
"1224265942","4526028","2014-09","0"
"1224265942","5458316","2015-06","0"
"1224265942","5003265","2015-02","1"
"1224265942","4838204","2014-12","1"
"3649749","5067241","2015-03","0"
"751917764","3969202","2014-01","0"
"1424948034","4030986","2014-02","1"
"1301906384","4461414","2014-08","0"
"262148523","4785340","2014-11","1"
"262148523","4307883","2014-07","1"
"262148523","4831466","2014-12","1"
"1133957109","4833800","2014-12","1"
"238502332","4762590","2014-11","1"
"148120874","5178529","2015-04","0"
"1439631080","4882864","2014-12","0"
"1439631080","3985071","2014-01","0"
"1439631080","4756238","2014-11","0"
"1176548660","4862583","2014-12","0"
"400368806","4837332","2014-12","1"
"400368806","5519747","2015-07","1"
"400368806","5245796","2015-04","1"
"400368806","4610949","2014-10","1"
"400368806","4864979","2014-12","1"
"400368806","5254351","2015-05","1"
"400368806","4767928","2014-11","1"
"388171944","4434355","2014-08","1"
"330379112","4030986","2014-02","1"
"763175065","4906263","2015-01","0"
"1302000358","5261199","2015-05","0"
"1017664646","4033180","2014-02","0"
"1017664646","4503515","2014-09","0"
"1017664646","4713453","2014-11","0"
"223142741","4290115","2014-06","1"
"223142741","5142023","2015-03","1"
"1094448328","4881095","2014-12","0"
"88598395","4760830","2014-11","0"
"88598395","4843548","2014-12","0"
"149827467","5644658","2015-07","1"
"149827467","5019449","2015-02","1"
"328686481","5526173","2015-07","0"
"975386731","4467295","2014-08","1"
"975386731","5575191","2015-07","1"
"1204925634","4923429","2015-01","1"
"1254800188","4681152","2014-10","1"
"71569541","3983987","2014-01","0"
"792018267","4055096","2014-03","0"
"73770022","4385458","2014-07","1"
"715159186","3009237","2013-09","0"
"715159186","3208910","2013-12","0"
"377930993","5169401","2015-04","1"
"1250956559","3220884","2013-12","1"
"1250956559","4963060","2015-01","1"
"746139364","4842489","2014-12","0"
"811099255","5572545","2015-07","0"
"902359330","4034022","2014-02","0"
"1088332439","4115693","2014-04","1"
"1387358178","4752652","2014-11","1"
"1387358178","4757981","2014-11","1"
"753532974","4809055","2014-12","1"
"164779072","3175377","2013-12","1"
"164779072","5430948","2015-06","1"
"164779072","5039867","2015-03","1"
"164779072","3995424","2014-01","1"
"820067219","4479016","2014-08","1"
"277790272","5121493","2015-03","0"
"367585640","3168159","2013-11","1"
"367585640","4388325","2014-07","1"
"367585640","4584084","2014-09","1"
"367585640","4303356","2014-07","1"
"367585640","4675970","2014-10","1"
"367585640","4820303","2014-12","1"
"367585640","4134774","2014-04","1"
"1442911478","4407722","2014-07","1"
"1058877680","4548648","2014-09","1"
"1362115475","3023632","2013-09","1"
"1362115475","5170665","2015-04","1"
"1362115475","4654591","2014-10","1"
"1362115475","3997201","2014-01","1"
"456978326","5528916","2015-07","1"
"456978326","5776370","2015-08","1"
"456978326","4385733","2014-07","1"
"456978326","5619121","2015-07","1"
"456978326","5629821","2015-07","1"
"89257321","4123597","2014-04","0"
"89257321","4656985","2014-10","1"
"89257321","4549318","2014-09","1"
"89257321","5499532","2015-07","1"
"89257321","3993456","2014-01","1"
"89257321","4571662","2014-09","1"
"89257321","4123307","2014-04","0"
"491990400","5652637","2015-08","0"
"1291517607","4961938","2015-01","0"
"524424789","4388460","2014-07","1"
"33327189","5113860","2015-03","0"
"33327189","5572902","2015-07","0"
"33327189","5762287","2015-08","0"
"33327189","5027606","2015-02","0"
"33327189","3977981","2014-01","0"
"33327189","4801637","2014-12","0"
"33327189","5702726","2015-08","1"
"1177505193","3124034","2013-11","1"
"1177505193","4046989","2014-03","1"
"1446516379","3222408","2013-12","1"
"1446516379","5221357","2015-04","1"
"63675405","4609711","2014-10","1"
"90520392","5202599","2015-04","1"
"531906713","4524219","2014-09","1"
"531906713","5421688","2015-06","1"
"651657306","5439253","2015-06","1"
"651657306","4624844","2014-10","1"
"651657306","5175190","2015-04","1"
"1437949785","4838411","2014-12","0"
"1437949785","4838602","2014-12","0"
"290181109","4936528","2015-01","1"
"1393219234","3028469","2013-09","0"
"1393219234","3107989","2013-11","0"
"1393219234","3018889","2013-09","0"
"1393219234","4584540","2014-09","0"
"1393219234","3996051","2014-01","0"
"1393219234","4887831","2014-12","0"
"1393219234","5088130","2015-03","0"
"1393219234","4577643","2014-09","0"
"176848511","3218482","2013-12","0"
"176848511","3228504","2013-12","0"
"176848511","3211295","2013-12","1"
"445180164","5401584","2015-06","0"
"355261565","4741513","2014-11","0"
"355261565","4801266","2014-12","0"
"355261565","4849028","2014-12","0"
"1336126497","5159678","2015-04","1"
"1336126497","4938215","2015-01","1"
"1336126497","5159790","2015-04","1"
"1336126497","4914320","2015-01","1"
"1336126497","5468237","2015-06","1"
"1336126497","5159531","2015-04","1"
"1336126497","5350248","2015-05","1"
"967970658","3229842","2013-12","1"
"967970658","4895002","2014-12","1"
"66629998","3246577","2013-12","0"
"66629998","3190252","2013-12","1"
"66629998","2993312","2013-09","1"
"66629998","3215396","2013-12","1"
"66629998","3113039","2013-11","1"
"66629998","5231067","2015-04","1"
"66629998","4547786","2014-09","1"
"66629998","5515629","2015-07","1"
"66629998","5159487","2015-04","1"
"66629998","5505623","2015-07","1"
"66629998","4631094","2014-10","1"
"66629998","5470639","2015-06","1"
"66629998","4060312","2014-03","1"
"66629998","5564527","2015-07","1"
"66629998","4487163","2014-08","1"
"66629998","5575079","2015-07","1"
"66629998","5212177","2015-04","1"
"66629998","4117288","2014-04","1"
"66629998","4837516","2014-12","1"
"66629998","4834426","2014-12","1"
"66629998","5553067","2015-07","1"
"66629998","4837579","2014-12","1"
"66629998","5757464","2015-08","1"
"66629998","3979689","2014-01","1"
"66629998","5576092","2015-07","1"
"66629998","5526575","2015-07","1"
"66629998","5610462","2015-07","1"
"66629998","5514683","2015-07","1"
"66629998","5585063","2015-07","1"
"66629998","5472286","2015-06","1"
"66629998","3968123","2014-01","0"
"66629998","5456697","2015-06","1"
"66629998","4393477","2014-07","1"
"66629998","5575453","2015-07","1"
"66629998","4428429","2014-08","0"
"66629998","4041779","2014-03","1"
"66629998","5575195","2015-07","1"
"66629998","5472283","2015-06","1"
"66629998","5757612","2015-08","1"
"66629998","4066064","2014-03","1"
"66629998","2983208","2013-09","1"
"66629998","3051418","2013-10","1"
"66629998","3046374","2013-10","1"
"66629998","5575747","2015-07","1"
"66629998","5476374","2015-06","1"
"66629998","5495699","2015-07","1"
"66629998","5757025","2015-08","0"
"597569714","5264409","2015-05","0"
"597569714","5381304","2015-06","0"
"597569714","5649054","2015-08","0"
"597569714","5590802","2015-07","0"
"597569714","5527889","2015-07","0"
"597569714","5285302","2015-05","0"
"597569714","4460786","2014-08","0"
"597569714","4577749","2014-09","0"
"597569714","4170111","2014-05","0"
"597569714","5082226","2015-03","0"
"597569714","5688357","2015-08","0"
"597569714","4168473","2014-05","0"
"597569714","4068094","2014-03","0"
"597569714","5343450","2015-05","0"
"597569714","5383818","2015-06","0"
"597569714","4837279","2014-12","1"
"597569714","4271304","2014-06","0"
"597569714","5611471","2015-07","0"
"597569714","4031524","2014-02","0"
"597569714","5678761","2015-08","0"
"597569714","4465256","2014-08","0"
"597569714","4828234","2014-12","0"
"128310397","3213506","2013-12","1"
"128310397","4174957","2014-05","1"
"128310397","4923843","2015-01","0"
"128310397","4355734","2014-07","1"
"128310397","4670353","2014-10","1"
"128310397","4922484","2015-01","1"
"128310397","5311090","2015-05","1"
"128310397","5644655","2015-07","1"
"128310397","4317040","2014-07","1"
"128310397","5519688","2015-07","1"
"128310397","4624839","2014-10","1"
"128310397","4861858","2014-12","1"
"769326759","4906500","2015-01","1"
"1115069224","4380416","2014-07","1"
"27189157","4704836","2014-11","0"
"767489942","3190628","2013-12","1"
"412809337","4685467","2014-10","1"
"533046240","4624626","2014-10","1"
"985521988","4951320","2015-01","0"
"985521988","5015854","2015-02","0"
"985521988","5016048","2015-02","0"
"985521988","5331814","2015-05","0"
"985521988","5031777","2015-02","0"
"985521988","5026234","2015-02","0"
"985521988","4354948","2014-07","0"
"985521988","4272767","2014-06","0"
"985521988","4028693","2014-02","0"
"985521988","5037639","2015-03","0"
"346334673","3020690","2013-09","1"
"346334673","4477786","2014-08","1"
"1199616213","5301202","2015-05","0"
"210433942","4017236","2014-02","1"
"1299936198","2997131","2013-09","1"
"1299936198","4101330","2014-04","1"
"1299936198","4326298","2014-07","1"
"1388973287","3239152","2013-12","1"
"730911492","4332815","2014-07","1"
"730911492","5480497","2015-06","1"
"689751038","3964974","2014-01","1"
"689751038","4666180","2014-10","0"
"689751038","5413713","2015-06","1"
"689751038","5585283","2015-07","1"
"689751038","4022143","2014-02","1"
"689751038","4923076","2015-01","1"
"689751038","4911650","2015-01","0"
"790646870","4797235","2014-12","1"
"790646870","4797240","2014-12","1"
"904260397","3178235","2013-12","1"
"904260397","3146575","2013-11","0"
"904260397","3118182","2013-11","0"
"904260397","3144728","2013-11","0"
"904260397","2973632","2013-09","0"
"904260397","3043447","2013-10","1"
"904260397","4446926","2014-08","1"
"904260397","4161756","2014-05","1"
"904260397","5349964","2015-05","1"
"904260397","5582298","2015-07","1"
"904260397","4051508","2014-03","0"
"904260397","4079105","2014-04","1"
"904260397","4575253","2014-09","0"
"346143375","5396050","2015-06","1"
"346143375","5217057","2015-04","1"
"346143375","4537149","2014-09","1"
"346143375","5326662","2015-05","1"
"346143375","5344295","2015-05","1"
"346143375","4929813","2015-01","1"
"1443201263","4443516","2014-08","1"
"1443201263","4431566","2014-08","1"
"1443201263","5697149","2015-08","1"
"1443201263","5273625","2015-05","1"
"1443201263","4659049","2014-10","1"
"1443201263","4136454","2014-04","1"
"1443201263","5488309","2015-06","1"
"1443201263","5467516","2015-06","1"
"1443201263","5240116","2015-04","1"
"1443201263","5752535","2015-08","1"
"1443201263","5769337","2015-08","1"
"1443201263","4965994","2015-01","1"
"1443201263","4549652","2014-09","1"
"1443201263","4139817","2014-05","1"
"1443201263","4454795","2014-08","1"
"1443201263","4339471","2014-07","1"
"1443201263","4067413","2014-03","0"
"1443201263","5306468","2015-05","1"
"1443201263","5466653","2015-06","1"
"1443201263","4940475","2015-01","1"
"1443201263","4221217","2014-06","1"
"1443201263","3027097","2013-09","1"
"1443201263","4194403","2014-05","1"
"1443201263","5306471","2015-05","1"
"1443201263","5532401","2015-07","1"
"1156940539","5226380","2015-04","0"
"1156940539","3040996","2013-10","1"
"1156940539","4642406","2014-10","0"
"1156940539","4521910","2014-09","0"
"585307514","3151926","2013-11","1"
"585307514","4486796","2014-08","1"
"850860290","3128160","2013-11","1"
"850860290","2983953","2013-09","1"
"850860290","5692503","2015-08","1"
"1036530118","3001904","2013-09","1"
"1036530118","5433149","2015-06","1"
"1036530118","4774737","2014-11","1"
"6734571","3157165","2013-11","0"
"6734571","2985691","2013-09","0"
"6734571","4479813","2014-08","1"
"6734571","4392425","2014-07","1"
"1432671007","4574649","2014-09","1"
"1432671007","4929398","2015-01","1"
"518675819","4582362","2014-09","1"
"520121849","3117078","2013-11","1"
"520121849","5576092","2015-07","1"
"520121849","5585232","2015-07","1"
"520121849","4726262","2014-11","1"
"520121849","4969677","2015-01","1"
"520121849","4976561","2015-01","0"
"520121849","4960949","2015-01","0"
"520121849","5472174","2015-06","1"
"520121849","4769139","2014-11","1"
"520121849","5575079","2015-07","1"
"520121849","4960951","2015-01","0"
"760607559","4044498","2014-03","1"
"760607559","4185585","2014-05","1"
"760607559","5750966","2015-08","1"
"760607559","3061363","2013-10","1"
"760607559","4823774","2014-12","1"
"535456790","3194128","2013-12","1"
"535456790","4452420","2014-08","1"
"535456790","4479814","2014-08","1"
"535456790","4417816","2014-08","1"
"535456790","4999843","2015-02","1"
"535456790","4471058","2014-08","1"
"535456790","4008586","2014-01","1"
"535456790","5439978","2015-06","1"
"535456790","5608561","2015-07","1"
