"EID","CaseID","CaseDate","CaseAmount"
"782634767","110135120","2015年08月","11400"
"782634767","105635464","2015年08月","15800"
"782634767","78284856","2014年01月","34000"
"782634767","85369661","2014年01月","34000"
"782634767","77996859","2014年01月","34000"
"782634767","72630399","2013年12月","19000"
"347773549","74644787","2012年11月","18300"
"380164654","101032010","2015年04月","8800"
"380164654","74796086","2013年09月","68000"
"380164654","74793086","2013年06月","1900"
"380164654","113213507","2015年04月","8800"
"815025852","97909249","2015年02月","20000"
"815025852","97739966","2015年01月","137700"
"1152732870","110485751","2015年08月","28000"
"1152732870","106590233","2015年08月","28000"
"368721054","106036378","2015年06月","107700"
"751058081","60448349","2013年01月","4900"
"786184189","107754949","2014年12月","2834800"
"786184189","95961327","2014年12月","2834800"
"1236522880","79998437","2014年05月","37900"
"1102129276","82355682","2014年06月","43200"
"274508907","109136754","2015年07月","6600"
"274508907","104536749","2015年07月","6600"
"274246765","65163306","2013年05月","12700"
"274246765","65163691","2013年05月","12700"
"274246765","65164472","2013年05月","9300"
"274246765","65164059","2013年05月","10700"
"274246765","65164250","2013年05月","8700"
"274246765","65165252","2013年05月","11400"
"274246765","65705354","2013年06月","13200"
"274246765","65162824","2013年05月","7700"
"140815468","102482425","2015年04月","143800"
"140815468","102482427","2015年04月","688800"
"140815468","110674833","2015年04月","143800"
"140815468","69277086","2012年12月","45700"
"140815468","62883674","2012年12月","221000"
"140815468","43383181","2012年11月","73200"
"140815468","60021256","2012年12月","221000"
"140815468","87326674","2014年02月","3803400"
"140815468","113077885","2015年04月","143800"
"140815468","100554707","2015年04月","143800"
"140815468","81982235","2014年07月","7700"
"140815468","76099032","2014年03月","143100"
"140815468","98284494","2015年03月","491800"
"140815468","103907607","2015年07月","105000"
"140815468","70933817","2013年11月","510000"
"140815468","113077904","2015年04月","688800"
"140815468","100554715","2015年04月","688800"
"140815468","75524648","2014年02月","3803400"
"140815468","69277090","2012年12月","22600"
"127292304","87616110","2014年07月","52100"
"127423368","68634254","2013年05月","45100"
"127161224","71843832","2013年12月","0"
"127161224","74033465","2014年01月","0"
"127161224","87956190","2014年10月","33200"
"261313422","98348964","2015年01月","80000"
"261313422","98348946","2015年01月","60000"
"395203473","81816506","2014年01月","4400"
"395203473","77818261","2014年01月","4400"
"395203473","101003031","2015年04月","6000"
"394875790","95423271","2013年12月","33300"
"394875790","77896488","2013年12月","33300"
"394875790","77896491","2013年12月","17900"
"394875790","77896497","2013年12月","15600"
"394875790","77896494","2013年12月","19200"
"197153974","101009695","2015年04月","200"
"197088443","42442659","2012年09月","22100"
"330650800","102044783","2014年01月","12200"
"330650800","77916078","2014年01月","12200"
"464802999","77752906","2014年02月","562300"
"464802999","81229247","2014年02月","562300"
"464802999","81273127","2014年05月","8100"
"464802999","98353417","2014年12月","24700"
"464540847","106371742","2015年07月","2885200"
"464540847","105204893","2015年07月","2885200"
"464540847","109544260","2015年07月","2885200"
"464540847","106242284","2015年08月","972900"
"464540847","106242305","2015年08月","2885200"
"598496440","103777226","2015年01月","3500"
"598824122","69045924","2012年09月","3300"
"732779701","60976812","2013年03月","0"
"732779701","43542042","2012年10月","1533600"
"732517557","94629495","2014年12月","1487100"
"866342070","111391750","2015年03月","43100"
"866342070","99662945","2015年03月","43100"
"866342070","100556183","2015年04月","32200"
"866342070","101896502","2015年03月","43100"
"1000428726","96178994","2015年01月","4043800"
"739945296","104588947","2015年06月","55000"
"430061043","14062208","2015年08月","32300"
"430061043","106733830","2015年08月","32300"
"972786820","103034386","2015年03月","7300"
"437161094","69526229","2013年11月","4150000"
"303664260","73138644","2013年05月","2600"
"169774219","95958998","2014年12月","35000"
"169774219","110457745","2014年12月","35000"
"367758174","108810656","2015年06月","139800"
"367758174","105781204","2015年06月","139800"
"367889243","81710430","2014年05月","75400"
"367889243","76856819","2014年03月","66000"
"100043613","106422024","2015年01月","0"
"100043613","78126253","2014年01月","77600"
"100043613","78125592","2013年12月","293100"
"100043613","92878536","2013年11月","352500"
"100043613","99652052","2015年01月","0"
"100043613","72539677","2013年11月","352500"
"100043613","93573717","2013年12月","293100"
"100043613","72537966","2013年10月","352500"
"100043613","78127250","2014年03月","69500"
"100043613","72538789","2013年05月","382500"
"100043613","93543245","2013年05月","382500"
"100043613","81103334","2014年06月","38300"
"99912542","87624483","2014年01月","347800"
"99912542","78280154","2014年01月","347800"
"99912542","74790288","2013年05月","76900"
"34043046","110138944","2015年08月","38300"
"34043046","110138955","2015年08月","37300"
"167867560","93353297","2014年07月","1"
"168260763","108834761","2015年04月","739700"
"168260763","100552989","2015年04月","739700"
"1438813028","72119565","2013年11月","62100"
"1304988507","61029192","2013年03月","99000"
"1304988507","85003002","2014年07月","28800"
"1204114902","72003887","2013年09月","40000"
"1204049366","95258582","2013年04月","302900"
"717213066","81259469","2013年12月","2092300"
"717213066","95423255","2013年12月","2092300"
"717213066","67887607","2013年01月","9200"
"717213066","76310294","2013年12月","2092300"
"717213066","103021908","2013年12月","2092300"
"717213066","87677126","2013年01月","9200"
"448908683","100451834","2015年03月","6000"
"315542917","81714629","2014年03月","63200"
"315542917","97831304","2014年11月","2433600"
"315542917","76372032","2014年03月","63200"
"315542917","71816655","2012年12月","545900"
"315542917","110127768","2015年05月","4600000"
"315542917","100995937","2015年05月","4600000"
"315542917","101565863","2015年05月","4600000"
"181194115","89737085","2014年10月","105500"
"181652864","103771337","2015年03月","25"
"181652864","97829913","2014年09月","500"
"854660022","94100735","2013年01月","121100"
"1390547895","81295515","2014年05月","21000"
"1390547895","105901033","2015年05月","49300"
"1390547895","101015106","2015年05月","49300"
"350284871","14065465","2015年06月","15000000"
"350284871","105973500","2015年06月","0"
"350284871","112775040","2015年06月","15000000"
"944853226","87388849","2014年07月","6200"
"994667196","119733627","2014年12月","29800"
"994667196","101575246","2015年05月","103300"
"1398017253","72330541","2013年10月","503500"
"1398017253","98745078","2013年08月","454400"
"1398017253","98745099","2013年09月","5087500"
"1398017253","98745144","2013年09月","119500"
"1398017253","98745126","2013年09月","206000"
"1398017253","98745139","2013年09月","51400"
"1398017253","98745136","2013年09月","1418200"
"1398017253","98745134","2013年09月","8240000"
"1398017253","98745123","2013年09月","3420900"
"1398017253","98745119","2013年09月","300900"
"1398017253","98745083","2013年08月","1212000"
"1398017253","98745142","2013年09月","890500"
"1398017253","98745089","2013年08月","1441800"
"1398017253","98745085","2013年08月","5431200"
"1398017253","61869864","2013年05月","200000"
"1398017253","72330440","2013年10月","200000"
"1398017253","99578869","2014年07月","150000"
"1398017253","64396272","2013年08月","500000"
"1398017253","72329099","2013年05月","1986000"
"1398017253","100487258","2013年05月","200000"
"1398017253","73817079","2014年01月","118900"
"1398017253","72330452","2013年10月","500000"
"1041655822","92473066","2014年09月","101200"
"927647109","89281665","2014年09月","65600"
"994798265","74970597","2013年03月","130100"
"994798265","74966784","2012年12月","82900"
"994798265","109556072","2015年04月","98800"
"994798265","85348566","2012年12月","82900"
"994798265","100550186","2015年04月","98800"
"994667202","105751631","2015年04月","9100"
"994667202","100554045","2015年04月","9100"
"994667202","108834775","2015年04月","9100"
"524231500","77131039","2013年06月","20000"
"524231500","77135354","2013年08月","1"
"751313846","14088392","2013年04月","402200"
"751313846","72348732","2013年08月","353800"
"751313846","72386632","2013年04月","1"
"751313846","72386458","2013年08月","1"
"751313846","94057492","2013年08月","353800"
"751313846","72345902","2013年04月","402200"
"751313846","94007202","2013年04月","402200"
"814376879","101021356","2015年04月","57000"
"814376879","113057696","2015年04月","57000"
"8135512","104529762","2015年07月","126100"
"8135512","100540689","2015年04月","176600"
"8135512","103803817","2015年06月","19500"
"8135512","113273010","2015年06月","102000"
"8135512","105438392","2015年04月","176600"
"8135512","106734786","2015年08月","105900"
"8135512","104529786","2015年07月","12500"
"8135512","106389315","2015年06月","131500"
"814639027","72118989","2013年12月","0"
"1217858018","69284881","2013年11月","13300"
"1217858018","74234324","2014年01月","53500"
"1217858018","69286905","2013年11月","17300"
"1217858018","69290567","2013年11月","24400"
"1217858018","69285666","2013年11月","27400"
"1217858018","77792283","2014年04月","84400"
"7742284","105364734","2015年08月","624700"
"7742284","79664043","2014年04月","20907200"
"7742284","79665247","2014年04月","15707200"
"7742284","79486981","2014年05月","20907200"
"7742284","101023404","2015年05月","22727300"
"7742284","79486990","2014年05月","15707200"
