EID,Y,EndDate
"692008013",0,""
"1027979431",0,""
"645642407",0,""
"263305383",0,""
"501368665",0,""
"126925812",0,""
"1447052300",0,""
"509262836",0,""
"1064715276",0,""
"134819983",0,""
"517157007",0,""
"899494031",0,""
"1281831055",1,"201512"
"525051178",0,""
"1048926934",0,""
"284252886",0,""
"98084138",0,""
"620968573",0,""
"941389037",0,""
"250252051",0,""
"132084973",0,""
"242357880",0,""
"1433998968",1,"201606"
"530210339",0,""
"1294884387",0,""
"217684046",0,""
"538104510",0,""
"1302778558",1,"201607"
"1035873602",0,""
"271199554",0,""
"572105345",0,""
"1001872767",0,""
"619535743",0,""
"237198719",0,""
"145138305",0,""
"1024253100",1,"201707"
"1344673564",0,""
"611641572",0,""
"229304548",0,""
"153032476",0,""
"535369500",0,""
"541961327",1,"201607"
"1348465431",0,""
"1030142119",0,""
"647805095",0,""
"1308510041",0,""
"265468071",0,""
"1380417924",0,""
"257573900",0,""
"124763124",0,""
"507100148",0,""
"185666017",1,"201707"
"132657295",0,""
"514994319",0,""
"1279668367",0,""
"1058983793",0,""
"676646769",1,"201606"
"1051089622",0,""
"905225514",0,""
"668752598",0,""
"1287562538",0,""
"1399425811",0,""
"1321563373",0,""
"1017088787",0,""
"252414739",0,""
"945180904",0,""
"520153480",0,""
"236626397",0,""
"145710627",0,""
"528047651",0,""
"1045930461",1,"201707"
"910384675",0,""
"217618510",0,""
"655699266",0,""
"1386372479",0,""
"952279681",0,""
"621698431",0,""
"1334616705",0,""
"142975617",0,""
"1024187564",0,""
"1342510876",0,""
"996141284",0,""
"613804260",0,""
"1423108324",0,""
"1348268823",0,""
"932661081",0,""
"641317031",0,""
"123357017",0,""
"505694041",0,""
"131251188",1,"201707"
"185469409",0,""
"139145359",0,""
"521482383",0,""
"1434832753",0,""
"1052495729",0,""
"662264534",0,""
"945714413",0,""
"1392937747",0,""
"628263699",0,""
"1335945608",0,""
"526641544",0,""
"908978568",0,""
"230138333",0,""
"152198691",0,""
"534535715",0,""
"1039442397",1,"201512"
"916872739",0,""
"1299209763",0,""
"542429886",1,"201607"
"1413885250",0,""
"1307103934",0,""
"1031548226",0,""
"649211202",0,""
"1379884415",0,""
"576430721",0,""
"997547391",0,""
"958767745",0,""
"1341104769",0,""
"232873343",0,""
"224979172",1,"201609"
"539694876",0,""
"261142695",0,""
"121194329",0,""
"1444889612",0,""
"511425524",1,"201707"
"1062552588",0,""
"893762548",0,""
"519319695",0,""
"901656719",0,""
"1283993743",0,""
"1054658417",0,""
"672321393",1,"201607"
"527213866",0,""
"1046764246",0,""
"909550890",1,"201607"
"664427222",0,""
"1291887914",0,""
"100246826",0,""
"943551725",1,"201708"
"630426387",0,""
"248089363",1,"201607"
"134247661",0,""
"945049832",0,""
"240195192",1,"201703"
"142141832",0,""
"232301021",0,""
"1423942109",1,"201509"
"532373027",0,""
"1041605085",1,"201704"
"914710051",0,""
"1297047075",0,""
"269036866",0,""
"574268033",0,""
"956605057",0,""
"617373055",0,""
"1338942081",0,""
"147300993",0,""
"1024318636",0,""
"1346836252",0,""
"991815908",0,""
"227141860",0,""
"1418782948",0,""
"936986457",0,""
"254654631",0,""
"1380745604",0,""
"629097484",0,""
"1056064524",1,"201605"
"900250612",0,""
"185338337",1,"201701"
"143470735",0,""
"908144783",0,""
"665833329",0,""
"1422613206",0,""
"1040276182",0,""
"1298375978",0,""
"275602134",0,""
"106734890",1,"201607"
"621230717",0,""
"1332376813",0,""
"1006275347",0,""
"623938323",0,""
"241601299",0,""
"616044152",0,""
"1340270984",0,""
"156524067",1,"201607"
"1303535139",0,""
"217946190",0,""
"929092286",0,""
"1375559039",0,""
"580756097",0,""
"963093121",0,""
"1353324316",0,""
"220653796",0,""
"161683228",0,""
"1412294884",0,""
"542223471",0,""
"1021491367",0,""
"256817319",0,""
"125519705",1,"201608"
"507856729",0,""
"1380680068",0,""
"898087924",1,"201607"
"667996017",1,"201607"
"1424775894",0,""
"531539242",0,""
"1042438870",1,"201706"
"913876266",0,""
"660101846",0,""
"1296213290",0,""
"277764822",0,""
"104572202",0,""
"1330214125",0,""
"1008438035",1,"201707"
"944918760",0,""
"618206840",0,""
"1338108296",0,""
"154361379",1,"201704"
"1419616733",0,""
"536698403",0,""
"217880654",0,""
"926929598",0,""
"1411722562",1,"201512"
"264711490",1,"201607"
"1377721727",0,""
"995384703",1,"201707"
"960930433",1,"201602"
"230710655",0,""
"605153508",0,""
"159520540",0,""
"541857564",0,""
"1348006679",0,""
"632666279",0,""
"132007769",0,""
"1380876676",0,""
"1434076172",0,""
"522238964",0,""
"1051739148",1,"201605"
"904575988",0,""
"185207265",0,""
"147796111",1,"201704"
"661507953",1,"201607"
"538027306",0,""
"920364330",0,""
"653613782",0,""
"111060266",0,""
"621361789",0,""
"1336702189",0,""
"619612947",0,""
"944722152",0,""
"229381752",0,""
"535292296",0,""
"543186467",0,""
"925523491",1,"201607"
"933417662",0,""
"1405234498",0,""
"1315754686",1,"201706"
"1022897474",0,""
"640560450",1,"201705"
"258223426",0,""
"1371233663",0,""
"1357649692",0,""
"598665444",0,""
"216328420",1,"201609"
"166008604",0,""
"1407969508",0,""
"548345628",0,""
"542354543",0,""
"939149145",0,""
"1321486169",1,"201607"
"129845081",0,""
"1380811140",0,""
"626934796",0,""
"137739252",0,""
"185272801",0,""
"527970447",0,""
"910307471",0,""
"1292644495",0,""
"1046007665",0,""
"663670641",0,""
"1038113494",0,""
"655776470",0,""
"1300538666",0,""
"273439446",0,""
"621296253",0,""
"621775635",1,"201607"
"239438611",1,"201602"
"613881464",0,""
"150792584",0,""
"533129608",0,""
"1423185528",0,""
"223650269",0,""
"1415291357",0,""
"1032954333",0,""
"650617309",0,""
"548917950",1,"201606"
"1313591998",0,""
"642723138",0,""
"260386114",0,""
"1373396351",0,""
"1347592833",0,""
"226385279",0,""
"1024580780",0,""
"600828132",0,""
"546182940",0,""
"542551151",0,""
"945637209",0,""
"628340903",0,""
"1327974233",0,""
"246003879",0,""
"136333145",0,""
"1381007748",0,""
"620446732",0,""
"144227316",0,""
"526564340",0,""
"1047413772",0,""
"908901364",0,""
"185076193",0,""
"534458511",0,""
"916795535",0,""
"1421856625",0,""
"1039519601",0,""
"657182577",0,""
"542352682",0,""
"924689706",0,""
"1307026730",1,"201612"
"621492861",0,""
"958690541",0,""
"997624595",0,""
"615287571",0,""
"1348921736",0,""
"225056376",0,""
"921954696",0,""
"1408803293",0,""
"929848867",0,""
"1312185891",0,""
"218208334",0,""
"1400909122",0,""
"1320080062",1,"201707"
"1018572098",0,""
"589406849",0,""
"984571263",0,""
"1354080897",0,""
"162439809",0,""
"1024777388",1,"201707"
"976677092",0,""
"212003044",0,""
"170333980",0,""
"1403644132",0,""
"943474521",0,""
"1325811545",0,""
"1380942212",0,""
"240272396",0,""
"1431913484",0,""
"524401652",0,""
"906738676",0,""
"149958799",0,""
"1296969871",0,""
"1041682289",0,""
"659345265",0,""
"540189994",0,""
"1033788118",0,""
"651451094",0,""
"269114070",0,""
"113222954",0,""
"956527853",0,""
"1338864877",0,""
"999787283",0,""
"235113235",1,"201607"
"609556088",1,"201708"
"1346759048",0,""
"227219064",0,""
"155117960",0,""
"219324893",0,""
"927686179",1,"201511"
"646291933",0,""
"1310023203",1,"201510"
"935580350",0,""
"1403071810",0,""
"1020734786",1,"201708"
"638397762",0,""
"256060738",1,"201708"
"1369070975",0,""
"969581185",0,""
"1351918209",0,""
"222059903",0,""
"160277121",0,""
"1024711852",0,""
"978839780",0,""
"168171292",0,""
"550508316",0,""
"1027979334",0,""
"1310672826",0,""
"263305286",0,""
"119031738",0,""
"1447052203",0,""
"509262933",0,""
"1439158032",0,""
"1056821008",0,""
"674483984",0,""
"1431263861",0,""
"525051275",0,""
"1048926837",1,"201607"
"666589813",0,""
"98084235",0,""
"1397263026",0,""
"1323726158",1,"201708"
"250251954",1,"201706"
"945115367",0,""
"624694807",0,""
"139979241",0,""
"147873412",1,"201609"
"1426104700",0,""
"1043767676",0,""
"912547460",0,""
"217684047",0,""
"538104607",0,""
"653536481",0,""
"954442466",0,""
"1336779490",0,""
"1344673661",0,""
"611641475",0,""
"229304451",0,""
"153032573",0,""
"541961328",0,""
"1348465430",1,"201612"
"926173114",0,""
"647804998",0,""
"1308510138",1,"201604"
"1066877867",0,""
"889437269",0,""
"1058983696",0,""
"676646672",0,""
"522888587",0,""
"1051089525",0,""
"668752501",0,""
"1287562635",0,""
"286415477",0,""
"620903038",0,""
"939226446",1,"201707"
"1399425714",0,""
"252414642",0,""
"129922382",0,""
"244520471",0,""
"520153577",0,""
"1436161559",0,""
"910384772",0,""
"663593340",0,""
"1292721796",0,""
"217618511",0,""
"918278943",0,""
"1038036193",0,""
"655699169",0,""
"273362145",0,""
"569942754",0,""
"952279778",0,""
"621698334",0,""
"1334616802",1,"201702"
"239361310",0,""
"142975714",1,"201602"
"1342510973",0,""
"1023653958",0,""
"641316934",0,""
"258979910",0,""
"123357114",0,""
"505694138",0,""
"1380614533",0,""
"633422763",0,""
"251085739",0,""
"1442726827",0,""
"513588309",0,""
"1060389803",0,""
"895925333",1,"201509"
"139145456",0,""
"1052495632",0,""
"1426938485",0,""
"529376651",0,""
"1044601461",0,""
"911713675",0,""
"621099646",0,""
"1392937650",0,""
"1328051534",0,""
"628263602",0,""
"136410446",1,"201707"
"1335945705",1,"201703"
"144304617",0,""
"908978665",0,""
"1039442300",0,""
"916872836",0,""
"542429983",0,""
"924767007",0,""
"1413885153",0,""
"1307104031",0,""
"1031548129",0,""
"576430818",0,""
"958767842",0,""
"615210270",1,"201607"
"1416620163",0,""
"542092400",0,""
"1025816646",0,""
"930498490",0,""
"261142598",0,""
"121194426",0,""
"1380548997",0,""
"253248427",1,"201601"
"1444889515",0,""
"511425621",1,"201610"
"893762645",0,""
"185534944",0,""
"136982768",0,""
"519319792",1,"201706"
"1436995344",0,""
"1283993840",0,""
"672321296",0,""
"1429101173",0,""
"527213963",0,""
"664427125",0,""
"1291888011",0,""
"100246923",0,""
"943551822",1,"201607"
"1325888846",1,"201701"
"1012763314",0,""
"630426290",0,""
"134247758",0,""
"1333783017",0,""
"906815977",0,""
"1431836183",1,"201604"
"232300924",0,""
"532373124",0,""
"1041604988",0,""
"914710148",0,""
"659267964",0,""
"1416047841",1,"201601"
"1033710817",0,""
"269036769",0,""
"1382047006",1,"201512"
"956605154",0,""
"147301090",0,""
"1024318637",0,""
"609478787",1,"201701"
"155195261",1,"201705"
"537532285",0,""
"542289008",0,""
"1019328582",0,""
"636991558",0,""
"254654534",1,"201608"
"127682490",0,""
"510019514",0,""
"629097387",0,""
"135576661",0,""
"185338336",0,""
"143470832",0,""
"525807856",0,""
"1430507280",0,""
"1290481904",0,""
"1048170256",0,""
"665833232",0,""
"916039051",0,""
"657939061",0,""
"1298376075",0,""
"106734987",0,""
"1388612274",0,""
"623938226",0,""
"241601202",0,""
"140735822",0,""
"616044055",0,""
"913304041",0,""
"1425348119",0,""
"225812860",0,""
"538861188",0,""
"921198212",0,""
"217946191",0,""
"929092383",0,""
"1409559777",0,""
"1027222753",0,""
"644885729",0,""
"1375558942",0,""
"580756194",0,""
"963093218",0,""
"610884894",0,""
"1345430242",0,""
"228547870",1,"201703"
"1024515245",0,""
"1353324413",1,"201512"
"602990723",0,""
"220653699",0,""
"161683325",0,""
"1412294787",0,""
"542223472",0,""
"1021491270",1,"201607"
"934823866",0,""
"125519802",0,""
"1380680069",0,""
"523645168",0,""
"667995920",0,""
"1424775797",0,""
"913876363",1,"201612"
"1296213387",0,""
"277764725",0,""
"621165182",0,""
"947877198",1,"201510"
"626100914",0,""
"243763890",0,""
"138573134",0,""
"235869719",0,""
"911141353",0,""
"1427510807",0,""
"227975548",0,""
"154361476",0,""
"1419616636",0,""
"536698500",0,""
"1037279612",0,""
"1301372548",1,"201512"
"544592671",0,""
"1309266719",0,""
"647048417",0,""
"578593506",0,""
"230710558",0,""
"987490435",0,""
"605153411",0,""
"1414457475",0,""
"542420080",1,"201707"
"1348006678",0,""
"514344890",0,""
"624772011",0,""
"242434987",0,""
"1434076075",0,""
"904576085",0,""
"147796208",0,""
"912470256",0,""
"1426181904",0,""
"1043844880",0,""
"1418287733",0,""
"538027403",0,""
"653613685",0,""
"1302701451",0,""
"271276661",0,""
"111060363",0,""
"621361790",0,""
"954365262",0,""
"1001949874",0,""
"145061198",0,""
"944722151",0,""
"229381655",1,"201707"
"152955369",0,""
"1421022743",0,""
"160849540",0,""
"1413128572",0,""
"1030791548",0,""
"1307860612",0,""
"551080735",0,""
"640560353",0,""
"1371233566",1,"201512"
"585081570",0,""
"988896542",0,""
"158114530",0,""
"1357649789",1,"201707"
"166008701",0,""
"542354544",0,""
"1348072214",0,""
"252491846",0,""
"129845178",0,""
"1380811141",0,""
"626934699",0,""
"244597675",0,""
"137739349",1,"201601"
"520076373",0,""
"902413397",0,""
"185272800",1,"201608"
"145633520",1,"201607"
"910307568",0,""
"1292644592",0,""
"1420450421",0,""
"535864715",0,""
"1038113397",0,""
"918201739",0,""
"655776373",0,""
"108897675",0,""
"621775538",0,""
"239438514",0,""
"613881367",0,""
"1342433769",0,""
"231544343",0,""
"533129705",1,"201706"
"1423185431",0,""
"223650172",0,""
"158686852",1,"201609"
"1415291260",1,"201602"
"541023876",0,""
"1032954236",0,""
"923360900",0,""
"650617212",0,""
"1305697924",0,""
"548918047",0,""
"1407397089",1,"201707"
"1313592095",0,""
"991059230",0,""
"983165059",1,"201607"
"546183037",0,""
"1347875606",1,"201606"
"1010677830",0,""
"945637306",0,""
"1327974330",0,""
"518670266",0,""
"144227413",1,"201708"
"1429750699",1,"201606"
"526564437",1,"201607"
"185076192",1,"201707"
"534458608",1,"201603"
"916795632",0,""
"657182480",0,""
"924689803",0,""
"649288309",0,""
"266951285",1,"201607"
"1379961522",1,"201703"
"1341027662",0,""
"232950450",0,""
"149386574",1,"201607"
"944591079",0,""
"607393303",0,""
"1348921833",0,""
"157280745",0,""
"217162108",0,""
"1408803196",0,""
"547511940",0,""
"1026466172",0,""
"1312185988",0,""
"218208335",0,""
"555406111",1,"201512"
"1400909025",0,""
"1320080159",0,""
"1018572001",0,""
"636234977",0,""
"589406946",1,"201603"
"1354080994",0,""
"552671101",0,""
"1347941142",0,""
"1012840518",0,""
"943474618",0,""
"630503494",1,"201608"
"1325811642",0,""
"134170554",0,""
"516507578",0,""
"1380942213",0,""
"240272299",1,"201608"
"149958896",0,""
"532295920",0,""
"1424019216",0,""
"1041682192",1,"201703"
"659345168",1,"201708"
"1416125045",0,""
"540190091",0,""
"922527115",1,"201607"
"956527950",1,"201601"
"1338864974",0,""
"999787186",0,""
"235113138",0,""
"944656615",0,""
"609555991",0,""
"1346759145",0,""
"227218967",0,""
"155118057",0,""
